Plate,Dilution,,,1,2,3,4,5,6,7,8,9,10,11,12
Fresh,2/3 x,SHIV.D.375M (human CD4 viral stock),SHIV.D.375M (human CD4 viral stock),404.141,420.46,297.339,407.54,291.426,316.421,320.279,369.476,376.726,532.546,335.025,327.54
Fresh,2/3 x,RM10N011.d56.PLAS.C7,RM10N011.d56.PLAS.C7,7794.363,3962.419,1135.723,2672.417,1711.292,295.293,449.038,3641.353,474.927,285.511,305.066,194.496
Fresh,2/3 x,RM10N011.d942.PLAS.F4,RM10N011.d942.PLAS.E5,>8398.438,>8398.438,6644.517,4316.688,2209.331,337.973,435.879,3781.063,1094.872,1527.888,459.707,923.525
Fresh,20 x,SHIV.D.375M (human CD4 viral stock),SHIV.D.375M (human CD4 viral stock),<0.000,<0.000,23.178,13.017,25.703,34.483,16.282,45.663,43.822,46.974,28.477,40.646
Fresh,20 x,RM10N011.d56.PLAS.C7,RM10N011.d56.PLAS.C7,264.774,153.91,100.422,104.066,102.853,50.104,84.981,203.517,82.755,93.833,117.099,28.477
Fresh,20 x,RM10N011.d942.PLAS.F4,RM10N011.d942.PLAS.E5,575.321,291.654,240.542,180.336,136.194,57.078,161.657,151.792,86.709,34.213,47.758,33.129
Fresh,2 x serial dilut,,SHIV.D.375M (human CD4 viral stock),>8398.438,>8398.438,>8398.438,>8398.438,6844.98,1226.655,537.569,2059.744,128.822,67.258,45.926,36.101
Frozen,2/3 x,SHIV.D.375M (human CD4 viral stock),SL92b (human CD4 viral stock),2739.194,2038.566,2266.968,1747.368,1415.884,951.927,2029.931,1530.623,1222.641,920.689,768.701,632.505
Frozen,2/3 x,RM10N011.d942.PBMC.B6,RM10N011.d56.PLAS.C7,>8398.438,2492.593,4673.017,>8398.438,5732.401,401.949,600.551,710.895,278.739,203.363,216.831,143.603
Frozen,2/3 x,RM10N011.d942.PBMC.B8,RM10N011.d942.PLAS.F4,>8398.438,>8398.438,>8398.438,>8398.438,1415.542,684.671,704.395,3638.498,464.664,436.087,464.938,217.073
Frozen,2/3 x,RM6563.d1456.PBMC.C7,SL92b (human CD4 viral stock),6304.017,5858.458,4065.358,3270.616,2168.907,312.484,2138.395,1279.857,114.984,56.161,20.393,24.067
Frozen,2/3 x,RM6563.d1065.PBMC.D7,RM10N011.d56.PLAS.C7,>8398.438,5537.893,1234.899,1467.112,216.831,197.87,872.392,2465.188,482.51,431.76,351.003,449.384
Frozen,2/3 x,RM6563.d112.PBMC.C7,RM10N011.d942.PLAS.E5,>8398.438,>8398.438,>8398.438,7695.311,1024.269,449.384,1023.632,>8398.438,676.46,374.353,280.499,419.9
Frozen,20 x,SHIV.D.375M (human CD4 viral stock),SL92b (human CD4 viral stock),118.952,56.161,30.906,28.359,53.785,33.112,60.755,41.557,43.277,45.97,48.102,70.703
Human,2/3 x,SHIV.D.375M (human CD4 viral stock),SHIV.D.375M (human CD4 viral stock),>8398.438,>8398.438,6716.973,372.403,238.829,204.512,>8398.438,>8398.438,>8398.438,1488.599,877.133,473.807
Human,2/3 x,RM10N011.d942.PBMC.B6,RM10N011.d56.PLAS.C7,>8398.438,>8398.438,>8398.438,>8398.438,6407.92,5244.209,>8398.438,>8398.438,>8398.438,>8398.438,3420.227,3387.793
Human,2/3 x,RM10N011.d942.PBMC.B8,RM10N011.d942.PLAS.F4,>8398.438,>8398.438,>8398.438,>8398.438,7419.639,4373.148,>8398.438,>8398.438,>8398.438,3278.968,2454.858,2798.694
Human,2/3 x,RM6563.d1456.PBMC.C7,SL92b (human CD4 viral stock),>8398.438,>8398.438,>8398.438,>8398.438,2750.43,2049.978,>8398.438,>8398.438,2097.274,159.629,141.474,154.133
Human,2/3 x,RM6563.d1065.PBMC.D7,RM10N011.d56.PLAS.C7,>8398.438,>8398.438,>8398.438,>8398.438,1706.548,828.657,>8398.438,>8398.438,>8398.438,>8398.438,4040.285,3709.443
Human,2/3 x,RM6563.d112.PBMC.C7,RM10N011.d942.PLAS.E5,>8398.438,>8398.438,>8398.438,>8398.438,4435.391,4455.531,>8398.438,>8398.438,>8398.438,5714.37,3550.329,5219.108
Human,20 x,SHIV.D.375M (human CD4 viral stock),SHIV.D.375M (human CD4 viral stock),1758.287,778.092,241.031,<0.000,<0.000,<0.000,>8398.438,4713.087,2021.127,38.526,21.938,7.647
