Well,Virus,Dilution
1,WEAU.2.1A1,1
2,WEAU.2.1A2,1
3,WEAU.3.1A4,1
4,WEAU.3.1A5,1
5,WEAU.8.1B1,2
6,WEAU.8.1B2,1
7,WEAU.11.1B5,1
8,WEAU.11.1B6,1
9,WEAU.14.1C1,1
10,WEAU.14.1C3,1
11,WEAU.15.1C4,1
12,WEAU.15.1C5,1
13,WEAU.17.1D1,1
14,WEAU.17.1D2,1
15,WEAU.18.1D4,1
16,WEAU.18.1D5,1
17,WEAU.19.1A1,1
18,WEAU.19.1A3,1
19,EJ52.2_2A4,1
20,EJ52.3_P1B2,1
21,EJ52.3_P2B1,1
22,EJ101.14_P1B4,1
23,EJ101.14_P2B5,1
24,EJ101.16_P1C2,1
25,EJ101.16_P1E1,1
26,EJ108.1_P1C4,1
27,EJ108.1_P2C6,1
28,EJ108.2_P2D1,1
29,EJ108.3_P2D2,1
30,EJ108.4_P1D3,1
31,EJ108.4_P1E5,1
32,EJ108.5_P2D5,1
33,EJ108.10_P1D6,1
34,EJ108.10_P1G6,1
35,UK61.1-P2A3,1
36,UK61.7-P2B2,1
37,UK61.11-P1D6,1
38,UK61.13-P2D1,8
39,NL4.3,1
40,89.6 293T,1
41,89.6 SUP,1
42,SG3 WT,1
43,SG3 L193A,1
44,NL4.3 WT,1
45,NL4.3 L193A,1
46,No virus 1,1
47,No virus 2,1
48,No virus 3,1
