"","Well","Virus","Dilution","final","well","iuPerUl"
"A1",1,"WEAU.2.1A1",1,3,"A1",99.1109370334927
"A2",2,"WEAU.2.1A2",1,3,"A2",25.6095000000001
"A3",3,"WEAU.3.1A4",1,3,"A3",81.9138461538464
"A4",4,"WEAU.3.1A5",1,3,"A4",53.298000001517
"A5",5,"WEAU.8.1B1",2,6,"A5",2.16000000000316
"A6",6,"WEAU.8.1B2",1,3,"A6",105.549230769236
"A7",7,"WEAU.11.1B5",1,3,"A7",36.7740000136993
"A8",8,"WEAU.11.1B6",1,3,"A8",43.7935537190082
"A9",9,"WEAU.14.1C1",1,3,"A9",116.842500003597
"A10",10,"WEAU.14.1C3",1,3,"A10",96.2685000000048
"A11",11,"WEAU.15.1C4",1,3,"A11",41.9040000000138
"A12",12,"WEAU.15.1C5",1,3,"A12",67.999500000091
"B1",13,"WEAU.17.1D1",1,3,"B1",18
"B2",14,"WEAU.17.1D2",1,3,"B2",43.4907692307696
"B3",15,"WEAU.18.1D4",1,3,"B3",23.6250000000013
"B4",16,"WEAU.18.1D5",1,3,"B4",21.4920000000356
"B5",17,"WEAU.19.1A1",1,3,"B5",80.8338461538462
"B6",18,"WEAU.19.1A3",1,3,"B6",67.5415384615737
"B7",19,"EJ52.2_2A4",1,3,"B7",166.334046938056
"B8",20,"EJ52.3_P1B2",1,3,"B8",263.959891617866
"B9",21,"EJ52.3_P2B1",1,3,"B9",31.624615384618
"B10",22,"EJ101.14_P1B4",1,3,"B10",156.724958680559
"B11",23,"EJ101.14_P2B5",1,3,"B11",93.5449586808168
"B12",24,"EJ101.16_P1C2",1,3,"B12",72.6188429752091
"C1",25,"EJ101.16_P1E1",1,3,"C1",1.99500000000503
"C2",26,"EJ108.1_P1C4",1,3,"C2",346.63731110517
"C3",27,"EJ108.1_P2C6",1,3,"C3",236.146153849254
"C4",28,"EJ108.2_P2D1",1,3,"C4",17.2523076923221
"C5",29,"EJ108.3_P2D2",1,3,"C5",172.894500000057
"C6",30,"EJ108.4_P1D3",1,3,"C6",270.678956709232
"C7",31,"EJ108.4_P1E5",1,3,"C7",29.3760000000002
"C8",32,"EJ108.5_P2D5",1,3,"C8",199.05917355372
"C9",33,"EJ108.10_P1D6",1,3,"C9",174.100704313971
"C10",34,"EJ108.10_P1G6",1,3,"C10",30.9285000118964
"C11",35,"UK61.1-P2A3",1,3,"C11",177.268500000001
"C12",36,"UK61.7-P2B2",1,3,"C12",161.102975206613
"D1",37,"UK61.11-P1D6",1,3,"D1",94.9569230775214
"D2",38,"UK61.13-P2D1",8,24,"D2",44.6400000000074
"D3",39,"NL4.3",1,3,"D3",66.6993857256032
"D4",40,"89.6 293T",1,3,"D4",63.3419999999999
"D5",41,"89.6 SUP",1,3,"D5",63.7605000007704
"D6",42,"SG3 WT",1,3,"D6",781.349675749648
"D7",43,"SG3 L193A",1,3,"D7",144.445117102053
"D8",44,"NL4.3 WT",1,3,"D8",916.388852540546
"D9",45,"NL4.3 L193A",1,3,"D9",1001.96180704492
"D10",46,"No virus 1",1,3,"D10",NA
"D11",47,"No virus 2",1,3,"D11",NA
"D12",48,"No virus 3",1,3,"D12",NA
