Block Type,96-Well 0.2-mL Block,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,
Calibration Background performed on,08-31-2017,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,
Calibration Pure Dye ABY performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye CY5 is expired,No,,,,,,,,,,,
Calibration Pure Dye CY5 performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,
Calibration Pure Dye FAM performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,
Calibration Pure Dye JUN performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE is expired,No,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,
Calibration Pure Dye NED performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,
Calibration Pure Dye ROX performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,
Calibration Pure Dye VIC performed on,04-05-2017,,,,,,,,,,,
Calibration ROI is expired ,No,,,,,,,,,,,
Calibration ROI performed on,04-05-2017,,,,,,,,,,,
Calibration Uniformity is expired ,No,,,,,,,,,,,
Calibration Uniformity performed on,04-05-2017,,,,,,,,,,,
Chemistry,OTHER,,,,,,,,,,,
Date Created,2018-11-26 10:59:44 AM EST,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\QuantStudio Design & Analysis Software\User Files\Scott\RT lamp 3.eds,,,,,,,,,,,
Experiment Name,2018-11-26_083759,,,,,,,,,,,
Experiment Run End Time,2018-11-27 10:17:42 AM EST,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,
Instrument Name,      272520984,,,,,,,,,,,
Instrument Serial Number,272520984,,,,,,,,,,,
Instrument Type,QuantStudio™ 5 System,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step1",,,,,,,,,,,
User Name,,,,,,,,,,,,
,,,,,,,,,,,,
Well,Well Position,Cycle,x1-m1,x1-m2,x2-m2,x2-m3,x3-m3,x3-m4,x4-m4,x4-m5,x5-m5,x5-m6
1,      A1,1,"42,987.836","17,374.602","1,875.448","2,590.155","3,833.788","101,014.484","192,496.734","162,898.094","86,890.219","50,686.738"
2,      A2,1,"22,521.379","14,504.963","1,298.424","3,132.938","5,862.801","113,813.039","206,358.109","162,659.266","73,654.297","43,696.242"
3,      A3,1,"17,603.238","10,672.968",241.494,"2,862.022","6,249.412","127,531.797","229,182.266","164,210.344","66,549.922","40,242.391"
4,      A4,1,"15,657.340","10,543.071",432.269,"2,432.154","5,802.220","118,706.281","208,527.469","151,848.484","60,973.570","36,656.844"
5,      A5,1,"110,358.281","57,086.297","5,992.735","6,086.010","7,841.165","124,159.266","214,356.844","150,058.500","63,344.012","35,247.523"
6,      A6,1,"27,194.707","17,059.518","1,702.969","2,924.775","6,426.122","120,168.008","207,507.125","144,148.359","55,731.992","33,566.691"
