,,01.14.2019,
,number,id,old RT
,2,MM23.01.2C2,0.015
,3,MM23.01.11A3,0.005
,4,MM23.01.11A6,0.005
,6,MM23.01.11C4,0.005
,7,MM23.01.13A5,0.006
,8,MM23.01.13B3,0.005
,10,MM23.01.13D2,0.002
,11,MM23.01.14D5,0.003
,12,MM23.05.2C1,0.020
,14,MM23.05.14C3,0.002
,15,MM23.05.14D2,0.004
,16,MM23.07.1C3,0.056
,18,MM23.07.2A4,0.068
,19,MM23.07.2A6,0.050
,20,MM23.07.2B2,0.025
,22,MM23.07.2B5,0.052
,23,MM23.07.2C6,0.031
,24,MM23.08.13C6,0.003
Bx 3,26,MM23.08.21C2,0.011
Bx 4,27,MM23.08.22A3,0.010
,28,MM23.08.22B4,0.002
Bx 4,30,MM23.08.22C6,0.013
,31,MM23.11.1A1,0.035
,32,MM23.11.1A5,0.041
,34,MM23.11.1D6,0.065
,35,MM23.11.2B2,0.039
,36,MM23.11.2B3,0.050
Bx 5,38,MM23.12.21B1,0.0056
Bx 5,39,MM23.12.22A3,0.0146
Bx 5,40,MM23.12.22C1,0.0120
,42,MM23.13.2D1,0.0150
Bx 6,43,MM23.13.21B5,0.0026
Bx 6,44,MM23.13.21B6,0.0056
Bx 7,46,MM23.13.22B3,0.0090
Bx 7,47,MM23.13.22C5,0.0075
,48,VOA_MM23.18.1A1,0.0131
,50,MM33.01.1C1,0.0109
,51,MM33.01.14C4,0.0023
,52,MM33.01.16C3,0.0015
,54,MM33.01.19C4,0.0019
Bx 7,55,MM33.01.20D1,0.0086
,56,MM33.07.1A2,0.0184
,58,MM33.07.1D4,0.0173
,59,MM33.07.2D2,0.0045
,60,MM33.08.1A2,0.0248
,62,MM33.08.1A4,0.0203
,63,MM33.08.1D2,0.0086
,64,MM33.08.1D4,0.0034
,66,MM33.08.2A3,0.0188
,67,MM33.08.2B6,0.0026
,68,MM33.08.1A4 bulk,0.0300
Bx 8,70,MM33.13.1D3,0.0071
,71,MM33.13.2D6,0.0180
Bx 8,72,MM33.13.11B1,0.0113
Bx 9,74,MM33.13.12A4,0.0064
,75,MM33.13 Bulk-I,0.0020
Bx 9,76,MM33.14.11A3,0.0113
Bx 10,78,MM33.14.11B4,0.0041
Bx 10,79,MM33.14.11C6,0.0086
Bx 24,80,MM33.14.12A2,0.0079
Bx 10,82,MM33.14.12C6,0.0101
,83,MM33.14_Bulk-I,0.0020
,84,MM33.14.1A2 bulk,0.0020
,86,MM33.17.1D6,0.0210
,87,MM33.17.2A4,0.0154
Bx 24,88,MM33.17.2B3,0.0049
,90,MM33.17.2B5,0.0120
,91,MM33.17.2C3,0.0143
,92,MM33.17.2D4,0.0221
,94,MM33.17_Bulk-I,0.0020
,95,MM33.17.1A2 bulk,0.0060
,96,MM33.19.1B1,0.0049
,98,MM33.19.2A4,0.0045
,99,MM33.19.2B1,0.0034
,101,MM33.19.2C1,0.0034
,102,MM33.19.2D2,0.0023
,103,MM33.19.3A1,0.0030
,104,MM33.19.3B4,0.0120
,106,MM33.19.4A5,0.0023
,107,MM33.19.4B5,0.0109
,108,MM33.19.4D1,0.0108
,110,MM34.01.1A5,0.010
,111,MM34.01.1B3,0.001
,112,MM34.01.1C2,0.003
,,SG3 JRFL WT,
,,SG3 JRFL Mut,
,,NL43 JRFL WT,
,,NL43 JRFL Mut,
,,CH40 6mo CD4,
,,CH40 TF CD4,
,,SG3,
,,YU2,
,,SG3+WEAU,
,,MEDIA,
,,MEDIA,
,,MEDIA,
