plate,rows,animal,day,virus,vl
1-2,ABC,RM6563,112,1176,10228
1-2,DEF,RM6163,1568,CH848,2294
3-4,ABC,RM6563,1456,1176,13120
3-4,DEF,RMT919,560,MT145.Q171K,1326
5-6,ABC,RM10N011,942,BG505,33724
5-6,DEF,RM6563,1065,1176,17968
7-8,ABC,RMT919,336,MT145.Q171K,2422
7-8,DEF,RM6163,1120,CH848,1504
9-10,ABC,RMT919,49,MT145.Q171K,13018
9-10,DEF,RM6072,1010,CH505,516
A,AB,RM6728,10/17/2016,CH505,666110
A,CD,RM10N011,56,BG505,111703.5
A,EF,RM6163,1568,CH848,2294
B,AB,RM6072,1291,CH505,872
B,CD,RM6563,56,1176,6550
B,EF,RM10N011,942,BG505,33724
C,AB,RM6728,10/17/2016,CH505,666110
C,CD,RM10N011,56,BG505,111703.5
C,EF,RM6163,1568,CH848,2294
D,AB,RM6072,1291,CH505,872
D,CD,RM6563,56,1176,6550
D,EF,RM10N011,942,BG505,33724


