Plate,Well,Note
1-2/3-4,C2,
1-2/3-4,C3,
1-2/3-4,E3,
1-2/3-4,F3,
1-2/3-4,G2,
9-10/Harvest,B1,
9-10/Harvest,F1,
9-10/Harvest,H1,
9-10/Harvest,G2,
9-10/Harvest,F2,
9-10/Harvest,C2,
9-10/Harvest,B2,
9-10/Harvest,A2,
9-10/Harvest,B3,
9-10/Harvest,D3,
9-10/Harvest,E3,
9-10/Harvest,F3,
9-10/Harvest,G3,
9-10/Harvest,F4,
3/4,G2,1 spot
1/2,B2,1 spot
5-6/7-8,H1,
5-6/7-8,H2,
5-6/7-8,F2,
5-6/7-8,C3,
5-6/7-8,D4,
5-6/7-8,B4,
5-6/7-8,A4,
5-6/7-8,G6,
C/D,H1,
C/D,G2,
C/D,E3,
C/D,G7,1 spot
C/D,D11,
A/B,E2,1 spot
A/B,A3,1 spot
A/B,H4,2 spot
A/B,G4,
A/B,A7,1 spot
A/B,H8,1 spot
A/B,B8,2 spot
A/B,E9,
A/B,D11,
A/B,E11,1 spot
