set,col,virus
1,1,YU2 8/23/19
1,2,NL43 3/29/18
1,3,896 9/16/19
1,4,SG3+WEAU 11/1/19
1,5,SG3 9/13/19
1,6,CH58 TF 11/8/19
1,7,CH470 TF 11/8/19
1,8,CH077 4/11/18
1,9,9201 Rebd 11/8/19
1,10,A08 Reb P1A5 11/8/19
1,11,CH492 P51A3 L80 11/19/19
1,12,CH492 P51A3 11/19/19
2,1,Isolate A08.21 2F4 9/27/18
2,2,601r1 10/21/19
2,3,A09r-1A2 10/21/19
2,4,A08.21-2P4 10/21/19
2,5,A09-IMC 9/16/19
2,6,MM33.13 7/29/19
2,7,MM33.17 7/29/19
2,8,MM33-TF 1/24/20
2,9,601r1 10/21/19
2,10,A09r-1A2 10/21/19
2,11,A08.21-2P4 10/21/19
2,12,A09-IMC 9/16/19
