Block Type,96-Well 0.2-mL Block,,,,,,,,,,,
Chemistry,OTHER,,,,,,,,,,,
Date Created,2018-11-01 11:54:38 AM EDT,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\QuantStudio Design & Analysis Software\User Files\Scott\RT LAMP2.eds,,,,,,,,,,,
Experiment Name,RT LAMP,,,,,,,,,,,
Experiment Run End Time,2018-11-02 11:45:01 AM EDT,,,,,,,,,,,
Experiment Type,Custom,,,,,,,,,,,
Instrument Name,      272520984,,,,,,,,,,,
Instrument Serial Number,272520984,,,,,,,,,,,
Instrument Type,QuantStudio™ 5 System,,,,,,,,,,,
Passive Reference,FAM,,,,,,,,,,,
Post-read Stage/Step,"Stage 4, Step 1",,,,,,,,,,,
Pre-read Stage/Step,"Stage 1, Step 1",,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage3, Step1",,,,,,,,,,,
User Name,,,,,,,,,,,,
,,,,,,,,,,,,
Well,Well Position,Cycle,x1-m1,x1-m2,x2-m2,x2-m3,x3-m3,x3-m4,x4-m4,x4-m5,x5-m5,x5-m6
1,      A1,1,"17,289.832","8,323.124","1,565.864","1,264.198",255.302,"8,357.292","18,685.869","11,734.988","1,910.054","1,742.540"
2,      A2,1,"17,597.631","9,100.801","2,252.955","2,126.757","3,039.144","10,869.895","18,688.543","12,526.801","1,534.544","1,460.305"
3,      A3,1,"16,966.490","10,328.608",708.752,"1,198.008",900.568,"9,549.457","19,202.912","11,820.204",-953.922,"1,377.153"
4,      A4,1,"12,649.184","8,557.786",805.986,887.219,"1,426.988","10,046.149","19,655.193","10,889.582",-976.100,"1,387.178"
5,      A5,1,"119,799.695","65,792.477","7,034.965","5,452.657","3,528.530","14,499.625","23,763.078","14,138.320","4,823.585","2,620.665"
6,      A6,1,"20,141.016","13,511.287","1,406.826",953.845,"1,348.234","10,586.959","20,156.037","11,946.805",-736.180,"1,216.501"
7,      A7,1,"10,137.455","-9,516.623","-1,147.996","-3,054.654","-5,058.326","6,011.706","17,399.270","11,321.943","4,524.815","2,681.921"
8,      A8,1,"26,843.131","10,127.417","-2,420.541","-2,894.803","-9,494.241","6,060.719","19,807.980","12,930.399","5,814.108","3,239.040"
9,      A9,1,"35,876.141","17,353.738","2,225.934","1,608.795","1,268.125","10,637.420","20,370.203","12,024.691","4,799.168","1,990.656"
10,      A10,1,"18,865.738","5,990.251","1,355.622",606.430,"1,145.839","9,756.226","19,889.219","11,941.150","5,971.089","2,432.692"
11,      A11,1,"59,238.570","23,762.209","3,337.971","1,754.474",871.868,"8,793.829","18,244.004","11,046.817","1,897.707","1,280.138"
12,      A12,1,"74,864.102","40,232.512","4,876.727","3,375.573","1,907.115","11,422.295","21,738.637","14,233.501","6,370.405","3,399.191"
13,      B1,1,"6,076.957","2,818.595",80.811,-467.842,189.061,"8,294.970","18,185.197","11,704.496","1,507.069","2,064.873"
14,      B2,1,"13,165.870","5,010.119",348.122,-396.857,-329.047,"8,152.348","18,659.846","12,397.573","3,181.288","1,472.247"
15,      B3,1,"7,147.998",-882.906,396.913,95.603,278.299,"9,240.476","20,335.668","11,838.402","5,811.322","2,423.332"
