,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,159,157,152,177,169,171,178,155,163,154,135,169,528/20
B,159,132,132,112,116,122,136,100,96,106,82,142,528/20
C,145,112,108,112,108,101,116,83,100,84,115,181,528/20
D,136,112,78,92,97,99,119,105,95,85,83,155,528/20
E,131,95,77,88,71,98,90,74,101,78,112,146,528/20
F,147,90,100,82,67,71,104,98,93,88,95,161,528/20
G,150,95,110,93,88,82,106,131,103,95,104,165,528/20
H,146,122,125,125,105,118,102,122,126,134,173,207,528/20
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,23851,12967,6947,3628,2200,1266,719,479,389,206,218,172,528/20
B,58150,32919,18695,12645,7280,3548,2324,1441,699,559,507,231,528/20
C,1679,784,759,364,269,169,192,160,117,99,136,139,528/20
D,5662,4931,3396,2495,1120,779,461,323,152,191,176,209,528/20
E,13996,9976,10563,7627,5824,3510,2246,1388,1003,429,431,265,528/20
F,85097,63792,39778,28123,15539,8249,4870,2393,1674,870,544,283,528/20
G,48093,35655,29180,22882,14701,9670,4916,2499,1725,1139,479,391,528/20
H,285,268,291,224,190,207,173,167,166,129,148,164,528/20
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,158,146,138,132,144,190,146,150,100,99,110,132,528/20
B,148,131,98,107,89,83,80,99,102,75,77,76,528/20
C,170,108,106,111,98,93,74,78,80,120,136,119,528/20
D,169,107,105,79,78,85,63,73,79,103,78,118,528/20
E,192,101,92,70,89,73,98,67,57,74,95,174,528/20
F,159,100,94,76,79,89,75,85,92,69,100,135,528/20
G,154,108,119,83,84,99,97,100,87,82,90,159,528/20
H,292,179,135,146,167,154,161,158,116,115,163,260,528/20
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,190,205,173,201,206,194,198,171,176,173,153,196,528/20
B,197,146,147,167,160,148,182,183,183,129,123,170,528/20
C,199,137,127,153,137,143,139,136,153,106,133,172,528/20
D,205,131,111,129,134,150,147,130,150,129,137,147,528/20
E,207,131,121,138,138,123,111,141,112,117,144,168,528/20
F,227,151,139,122,95,133,134,107,118,128,135,207,528/20
G,230,135,115,117,125,106,140,148,150,119,122,220,528/20
H,243,183,173,170,173,157,182,172,147,159,189,183,528/20
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,145,150,166,174,168,161,177,150,170,161,141,220,528/20
B,123,95,123,141,101,112,128,112,123,119,116,156,528/20
C,143,110,105,113,104,94,116,124,115,100,98,154,528/20
D,139,83,96,90,97,110,122,105,114,107,123,202,528/20
E,112,100,87,97,86,86,87,112,95,109,134,178,528/20
F,152,107,103,92,107,96,104,113,101,95,115,166,528/20
G,149,106,95,105,113,91,107,100,119,111,222,189,528/20
H,180,148,152,115,141,152,129,145,152,169,144,233,528/20
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,169,133,138,145,153,162,159,156,157,148,130,172,528/20
B,150,115,106,106,119,117,121,94,95,128,93,136,528/20
C,146,100,98,103,98,130,106,126,109,117,104,195,528/20
D,157,131,88,111,96,107,99,114,100,107,101,184,528/20
E,164,132,95,111,108,119,118,104,105,106,97,251,528/20
F,155,99,99,88,101,108,124,98,99,105,125,218,528/20
G,114,104,102,101,108,133,104,118,84,110,163,142,528/20
H,169,135,135,141,119,140,113,134,139,149,207,208,528/20
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,171,186,155,156,173,203,159,198,184,162,142,187,528/20
B,162,146,125,139,149,118,119,115,125,135,120,126,528/20
C,141,121,123,114,102,119,122,118,75,100,114,165,528/20
D,147,130,93,92,130,126,102,98,100,109,93,147,528/20
E,166,129,103,110,98,101,151,104,97,95,77,151,528/20
F,154,122,93,77,77,108,122,124,88,73,131,153,528/20
G,178,96,105,91,123,127,120,96,125,94,144,146,528/20
H,212,167,147,141,152,147,134,143,164,126,154,162,528/20
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,142,110,141,87,123,166,147,154,181,166,114,269,528/20
B,147,105,112,79,84,85,126,79,78,131,71,110,528/20
C,119,115,109,75,85,119,102,93,109,105,105,247,528/20
D,127,71,68,76,97,89,106,98,68,71,80,127,528/20
E,102,89,86,79,70,55,73,85,84,71,78,221,528/20
F,113,73,88,70,93,91,103,110,70,71,216,208,528/20
G,108,105,69,91,71,92,68,93,76,100,200,136,528/20
H,192,159,157,156,109,128,146,144,164,130,169,393,528/20
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,130,147,153,143,98,312,151,357,101,78,59,418,528/20
B,112,108,92,76,65,60,67,79,50,49,42,106,528/20
C,77,79,80,69,86,70,71,41,56,83,90,275,528/20
D,66,42,53,40,38,31,32,73,66,124,35,66,528/20
E,64,45,38,51,38,53,269,40,33,30,46,91,528/20
F,72,50,40,43,37,57,39,68,23,24,99,174,528/20
G,67,47,60,56,56,56,110,165,124,33,214,88,528/20
H,340,65,47,56,47,37,36,33,64,33,168,237,528/20
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,11,71,89,68,74,57,75,47,76,48,57,9,528/20
B,48,51,33,26,40,28,51,43,29,24,64,9,528/20
C,51,33,38,35,26,46,32,27,44,24,70,12,528/20
D,38,36,31,24,26,19,23,30,32,25,34,10,528/20
E,51,36,30,23,45,114,26,22,20,30,37,12,528/20
F,42,35,30,32,28,60,51,31,28,49,33,10,528/20
G,34,49,34,27,41,71,74,38,37,106,73,13,528/20
H,67,55,50,52,45,48,52,41,56,149,107,8,528/20
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,57,115,51,38,30,51,44,49,29,34,20,33,528/20
B,,,,,,,,,,,20,27,528/20
C,,,,,,,,,,,,,528/20
D,,,,,,,,,,,,,528/20
E,,,,,,,,,,,,,528/20
F,,,,,,,,,,,,,528/20
G,,,,,,,,,,,,,528/20
H,,,,,,,,,,,,,528/20
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,113,119,142,106,94,140,139,146,153,154,91,555,528/20
B,128,94,100,71,54,71,117,61,61,99,70,106,528/20
C,132,94,63,50,53,90,86,60,74,74,138,619,528/20
D,86,59,63,50,64,67,108,93,74,60,76,108,528/20
E,115,62,47,58,55,61,62,65,72,67,66,220,528/20
F,111,58,43,44,54,66,69,75,69,66,151,174,528/20
G,112,83,50,82,58,76,71,70,63,78,270,221,528/20
H,236,148,135,162,104,102,110,143,129,158,232,831,528/20
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,147,135,141,129,154,152,126,125,122,152,141,173,528/20
B,127,84,75,78,81,99,107,84,89,108,63,138,528/20
C,125,113,90,88,75,87,88,86,100,102,83,138,528/20
D,109,72,63,63,65,91,79,90,67,91,83,131,528/20
E,91,75,61,83,77,82,69,52,86,79,78,134,528/20
F,112,55,63,61,86,98,82,88,64,84,98,197,528/20
G,133,80,69,74,62,74,80,86,72,102,125,155,528/20
H,130,134,103,118,104,78,119,120,123,126,96,244,528/20
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,141,115,128,81,134,259,118,141,111,114,93,143,528/20
B,107,84,91,83,79,112,64,70,55,50,59,62,528/20
C,141,73,76,71,80,85,73,51,84,130,79,96,528/20
D,116,70,68,67,76,74,56,83,60,67,58,89,528/20
E,95,46,42,60,50,80,112,57,49,51,31,45,528/20
